master_id,ItemID_DE,order_no,qty,remark_de,qty_delivered
27144,7154,DE2949,200,"Adana Sis 60 x 2.3 x0.3cm",0
27145,7155,DE2949,200,"Adana Sis 65 x 2.3 x0.3cm",0
27146,10983,DE2949,400,"Kare Sis 65 x 0,5 x 0,5cm",0
27147,10983,DE2949,600,"Kare Sis 60 x 0,5 x 0,5cm",0
27140,7813,DE2948,75,"add RMB price",0
27141,7817,DE2948,200,"add RMB price",0
27142,7818,DE2948,200,"add RMB price",0
27143,7814,DE2948,125,"add RMB price",0
27139,6623,DE2947,2,"E2025-9 - B97311",0
27138,187,DE2946,50,B97305,0
27137,6397,DE2945,36,B97303,0
27136,11075,DE2944,4,"d1 20mm - d2 14mm keyway both sides B97301",0
27135,187,DE2943,1000,B97300,0
27129,5916,DE2942,1200,,0
27130,1855,DE2942,40,,0
27131,677,DE2942,408,,0
27132,6034,DE2942,72,,0
27133,1852,DE2942,100,,0
27134,679,DE2942,416,,0
27120,23,DE2941,900,B97254,0
27121,702,DE2941,400,B97254,0
27122,5693,DE2941,100,B97254,0
27124,6281,DE2941,200,B97254,0
27125,6280,DE2941,150,B97254,0
27126,9828,DE2941,500,B97254,0
27127,6296,DE2941,300,B97254,0
27116,480,DE2940,400,,0
27117,7044,DE2940,400,,0
27118,8921,DE2940,400,,0
27119,6906,DE2940,600,,0
27114,489,DE2939,35,"black plugs",0
27115,488,DE2939,75,"black plugs",0
27113,5195,DE2938,50,"Custom item: D-shaft must be 15mm log, NOT 20mm - B97222",0
27112,11411,DE2937,10,B97240,0
27110,385,DE2935,25,"25 Einheiten für Auftrag B97218",0
27109,6541,DE2934,2,"2 Einheiten für Auftrag B97184",0
27107,6949,DE2933,3,"3 Einheiten für Auftrag B97204",0
27108,6966,DE2933,3,"3 Einheiten für Auftrag B97204",0
27106,11063,DE2932,4,"B97176 - d1 17mm d2 20mm keyway both sides",0
27063,6962,DE2931,10,,0
27064,8980,DE2931,10,,0
27065,10816,DE2931,20,,0
27066,2110,DE2931,10,,0
27067,9621,DE2931,30,,0
27068,6435,DE2931,10,,0
27069,6580,DE2931,20,,0
27070,5017,DE2931,20,,0
27072,4058,DE2931,10,,0
27073,6630,DE2931,10,,0
27074,5855,DE2931,20,,0
27075,620,DE2931,30,,0
27076,7072,DE2931,1,,0
27077,831,DE2931,40,,0
27078,7478,DE2931,10,,0
27079,6397,DE2931,10,,0
27080,268,DE2931,80,,0
27081,6418,DE2931,20,,0
27082,7007,DE2931,10,,0
27083,10767,DE2931,20,,0
27084,2643,DE2931,70,,0
27086,7709,DE2931,1,,0
27087,5195,DE2931,5,,0
27088,117,DE2931,40,,0
27089,155,DE2931,70,,0
27090,2424,DE2931,40,,0
27091,3152,DE2931,20,,0
27092,9562,DE2931,20,,0
27093,346,DE2931,10,,0
27094,8443,DE2931,10,,0
27095,402,DE2931,50,,0
27096,3233,DE2931,10,,0
27097,373,DE2931,10,,0
27098,7470,DE2931,30,,0
27099,10726,DE2931,10,,0
27100,2536,DE2931,5,,0
27101,5208,DE2931,5,,0
27102,4032,DE2931,20,,0
27103,203,DE2931,20,,0
27104,2031,DE2931,40,,0
27105,2364,DE2931,80,,0
27062,3132,DE2930,4,B97126,0
27057,4071,DE2928,20,"ball bearing 6000-2RS - TMB",0
27058,4071,DE2928,20,"ball bearing 6000-2RS - HRB",0
27059,4071,DE2928,20,"ball bearing 6000-2RS - LYC",0
27060,4071,DE2928,20,"ball bearing 6000-2RS - C&U",0
27056,7607,DE2927,50,"K011111 -  B97119",0
27055,4071,DE2926,3,"T2025-3 1200 Stk Kreismesser ohne Preis",0
27054,5542,DE2925,30,B97020,0
27052,7637,DE2923,125,"PRIO B91036",0
27049,1852,DE2922,48,"GT tray",0
27050,1853,DE2922,48,"GT tray",0
27051,679,DE2922,416,"GT tray",0
27046,4071,DE2919,4,"CUSTOM ORDER: JASHION TS-A/XL/316 D65L90 d1: 19mm - d2: 29mm with keyway on both sides",0
27042,11374,DE2918,1,B97050,0
27043,11371,DE2918,1,B97050,0
27044,11321,DE2918,1,B97050,0
27045,11313,DE2918,1,B97050,0
27039,5542,DE2915,100,B97020,0
27027,5693,DE2913,100,K011111,0
27028,6344,DE2913,100,K011111,0
27029,7610,DE2913,200,K011111,0
27030,6280,DE2913,200,K011111,0
27031,6281,DE2913,400,K011111,0
27032,6296,DE2913,400,K011111,0
27033,9828,DE2913,600,K011111,0
27034,702,DE2913,800,K011111,0
27035,23,DE2913,1000,K011111,0
26896,6952,DE2910,10,,0
26897,5749,DE2910,10,,0
26898,8968,DE2910,10,,0
26899,9033,DE2910,10,,0
26900,651,DE2910,20,,0
26901,7119,DE2910,1,,0
26902,5013,DE2910,10,,0
26903,662,DE2910,30,,0
26904,8996,DE2910,20,,0
26905,9032,DE2910,10,,0
26906,8973,DE2910,20,,0
26907,4378,DE2910,10,,0
26908,4370,DE2910,20,,0
26909,4368,DE2910,10,,0
26910,9047,DE2910,10,,0
26911,2111,DE2910,10,,0
26912,2097,DE2910,20,,0
26913,9622,DE2910,30,,0
26915,2108,DE2910,10,,0
26916,2115,DE2910,10,,0
26917,2122,DE2910,10,,0
26918,9623,DE2910,20,,0
26919,7660,DE2910,10,,0
26920,4280,DE2910,10,,0
26921,7658,DE2910,20,,0
26922,9626,DE2910,20,,0
26923,2030,DE2910,60,,0
26924,1955,DE2910,30,,0
26925,5513,DE2910,20,,0
26926,8729,DE2910,10,,0
26927,5008,DE2910,70,,0
26928,9538,DE2910,20,,0
26929,6386,DE2910,10,,0
26930,8948,DE2910,20,,0
26931,8955,DE2910,10,,0
26932,6575,DE2910,30,,0
26933,5512,DE2910,45,,0
26934,6569,DE2910,10,,0
26935,796,DE2910,10,,0
26936,5390,DE2910,10,,0
26937,4373,DE2910,10,,0
26938,5262,DE2910,30,,0
26939,5258,DE2910,30,,0
26940,5263,DE2910,20,,0
26941,5273,DE2910,30,,0
26942,5272,DE2910,50,,0
26943,5276,DE2910,46,,0
26944,8943,DE2910,20,,0
26945,1950,DE2910,10,,0
26946,1951,DE2910,20,,0
26947,9447,DE2910,20,,0
26948,7282,DE2910,1,,0
26949,2698,DE2910,1,,0
26950,149,DE2910,70,,0
26951,150,DE2910,40,,0
26952,2419,DE2910,10,,0
26953,7295,DE2910,1,,0
26954,2428,DE2910,30,,0
26955,4467,DE2910,40,,0
26956,6087,DE2910,1,,0
26957,7100,DE2910,1,,0
26958,7101,DE2910,1,,0
26959,4472,DE2910,10,,0
26960,5827,DE2910,10,,0
26961,7057,DE2910,10,,0
26962,9638,DE2910,30,,0
26963,7021,DE2910,10,,0
26964,4471,DE2910,20,,0
26965,6361,DE2910,20,,0
26966,162,DE2910,20,,0
26967,4940,DE2910,10,,0
26968,4939,DE2910,10,,0
26969,9714,DE2910,2,,0
26970,6606,DE2910,10,,0
26971,7018,DE2910,10,,0
26972,6363,DE2910,10,,0
26973,7402,DE2910,10,,0
26974,6131,DE2910,20,,0
26975,1961,DE2910,50,,0
26976,345,DE2910,30,,0
26977,4180,DE2910,10,,0
26978,9696,DE2910,10,,0
26979,663,DE2910,40,,0
26980,8791,DE2910,10,,0
26981,6428,DE2910,10,,0
26982,10804,DE2910,10,,0
26983,7304,DE2910,1,,0
26984,7305,DE2910,1,,0
26985,7094,DE2910,1,,0
26986,6628,DE2910,10,,0
26987,2366,DE2910,20,,0
26988,6132,DE2910,20,,0
26989,6605,DE2910,20,,0
26990,138,DE2910,70,,0
26991,5019,DE2910,20,,0
26992,198,DE2910,20,,0
26993,357,DE2910,20,,0
26994,7472,DE2910,30,,0
26995,5213,DE2910,2,,0
26996,9598,DE2910,10,,0
26997,5392,DE2910,10,,0
26998,5021,DE2910,30,,0
26999,7471,DE2910,10,,0
27000,10805,DE2910,10,,0
27001,5015,DE2910,10,,0
27002,3164,DE2910,20,,0
27003,4555,DE2910,20,,0
27004,3641,DE2910,20,,0
27005,9648,DE2910,20,,0
27006,2042,DE2910,50,,0
27007,9571,DE2910,10,,0
27008,107,DE2910,40,,0
27009,106,DE2910,10,,0
27010,203,DE2910,20,,0
27011,8458,DE2910,10,,0
27012,393,DE2910,10,,0
27013,671,DE2910,30,,0
27014,1958,DE2910,70,,0
27015,1957,DE2910,50,,0
27016,4037,DE2910,10,,0
27017,2642,DE2910,20,,0
27018,3181,DE2910,40,,0
27019,365,DE2910,70,,0
27020,366,DE2910,70,,0
27021,5211,DE2910,3,,0
27022,9019,DE2910,2,,0
27023,9533,DE2910,10,,0
27024,6419,DE2910,10,,0
26888,6281,DE2908,200,"GT Tray reserve",0
26889,9828,DE2908,200,"GT Tray reserve",0
26890,6296,DE2908,400,"GT Tray reserve",0
26891,697,DE2908,400,,0
26892,480,DE2908,400,,0
26893,470,DE2908,600,,0
26884,6280,DE2907,200,B96465,0
26885,6281,DE2907,300,B96465,0
26886,6344,DE2907,100,B96465,0
26887,5693,DE2907,200,B96465,0
26883,6345,DE2906,200,"200 Einheiten für Auftrag B96465",0
26879,8949,DE2904,1,B96724,0
26880,9031,DE2904,1,B96724,0
26881,9717,DE2904,1,B96724,0
26876,10819,DE2903,4,B96688,0
